178.218.119.172	Saratov
31.173.83.173	Moscow
85.140.2.231	Saint-Petersburg
95.26.160.3	Moscow
91.225.166.47	Moscow
46.39.249.91	Moscow
2.133.156.105	Moscow
5.248.162.219	Saint-Petersburg
46.39.244.199	Saint-Petersburg
84.237.55.32	Moscow
78.25.120.141	Moscow
92.252.155.15	Moscow
95.47.196.138	Saint-Petersburg
66.249.64.91	Saratov
31.42.47.200	Moscow
95.56.208.15	Saratov
207.46.13.101	Moscow
46.39.230.187	Moscow
31.171.165.147	Moscow
31.135.33.74	Moscow
82.145.222.88	Saint-Petersburg
178.204.164.185	Moscow
131.253.27.115	Moscow
128.74.175.117	Saint-Petersburg
176.59.53.42	Moscow
46.34.137.112	Moscow
85.140.78.38	Moscow
31.132.180.5	Moscow
95.190.188.105	Saratov
93.88.82.227	Saint-Petersburg
178.68.70.73	Saratov
178.76.218.70	Moscow
94.25.179.181	Saint-Petersburg
94.43.208.207	Moscow
193.34.160.72	Kolomna
78.37.185.154	Saratov
5.164.125.138	Saint-Petersburg
149.62.243.254	Saint-Petersburg
95.29.104.153	Saint-Petersburg
213.87.149.110	Moscow
188.187.12.105	Saint-Petersburg
31.207.234.165	Saratov
66.249.64.79	Saint-Petersburg
78.60.227.201	Moscow
82.113.53.57	Moscow
213.87.240.212	Moscow
37.215.191.12	Moscow
188.68.112.176	Moscow
37.145.102.139	Moscow
62.182.72.200	Moscow
5.228.255.180	Saint-Petersburg
5.141.218.95	Saratov
46.8.138.36	Saint-Petersburg
185.23.82.15	Moscow
90.155.144.215	Moscow
213.226.141.19	Saratov
46.219.215.137	Saint-Petersburg
88.135.120.143	Kolomna
5.227.232.151	Moscow
80.77.162.143	Moscow
217.118.79.35	Saint-Petersburg
109.87.43.61	Moscow
66.131.198.175	Saint-Petersburg
185.115.96.36	Moscow
46.242.8.75	Moscow
46.211.154.208	Saint-Petersburg
5.128.130.30	Saint-Petersburg
213.87.157.127	Moscow
5.167.65.162	Saratov
109.174.114.70	Saratov
81.177.251.84	Moscow
82.151.222.168	Moscow
79.172.76.216	Moscow
168.235.202.75	Saint-Petersburg
212.112.119.144	Saint-Petersburg
5.18.172.180	Saint-Petersburg
95.29.223.171	Moscow
5.255.253.74	Kolomna
77.51.196.218	Moscow
92.55.191.155	Moscow
178.154.200.21	Saratov
79.126.1.115	Kolomna
95.221.96.125	Moscow
185.24.206.129	Moscow
213.87.147.189	Saint-Petersburg
31.13.144.4	Moscow
109.229.4.60	Saint-Petersburg
2.60.172.174	Saratov
176.59.143.91	Moscow
91.105.184.85	Saint-Petersburg
213.87.151.223	Saint-Petersburg
31.173.84.57	Moscow
46.251.198.15	Moscow
188.17.117.5	Moscow
85.140.1.215	Saint-Petersburg
178.206.209.237	Moscow
80.83.235.75	Kolomna
109.110.67.245	Moscow
207.46.13.226	Moscow
5.165.41.123	Moscow
217.118.64.59	Saratov
212.14.204.141	Saint-Petersburg
37.26.149.197	Saratov
88.201.162.100	Saint-Petersburg
77.222.114.22	Moscow
148.251.138.41	Moscow
194.44.224.248	Saratov
2.132.235.224	Saint-Petersburg
37.214.92.67	Kolomna
46.0.168.60	Saint-Petersburg
77.222.115.115	Saint-Petersburg
212.96.84.47	Saint-Petersburg
95.73.27.120	Saint-Petersburg
95.53.122.245	Saint-Petersburg
213.87.121.2	Moscow
185.79.102.67	Saint-Petersburg
181.110.91.230	Saint-Petersburg
188.123.241.166	Saratov
94.190.46.179	Moscow
85.140.2.208	Saint-Petersburg
90.191.228.27	Saint-Petersburg
46.39.228.64	Saint-Petersburg
37.112.184.139	Saint-Petersburg
90.155.205.133	Saratov
46.251.197.48	Moscow
5.143.93.48	Moscow
85.140.2.26	Moscow
82.145.221.138	Moscow
62.12.76.144	Moscow
89.31.37.16	Moscow
37.229.239.178	Saint-Petersburg
91.205.161.208	Moscow
84.201.226.133	Moscow
213.178.62.229	Saint-Petersburg
46.39.231.236	Moscow
213.242.62.4	Moscow
46.146.16.112	Saratov
31.181.55.36	Moscow
46.39.244.200	Saint-Petersburg
141.0.14.161	Moscow
60.219.231.23	Moscow
95.84.193.36	Saratov
109.63.248.241	Saint-Petersburg
188.68.119.51	Moscow
95.129.182.157	Moscow
176.215.232.68	Moscow
31.173.86.223	Saint-Petersburg
31.211.33.164	Saint-Petersburg
185.3.34.244	Moscow
176.69.45.65	Saratov
176.118.113.3	Moscow
62.33.84.227	Moscow
91.79.32.106	Saint-Petersburg
91.105.17.229	Moscow
5.76.243.181	Moscow
66.249.64.87	Moscow
217.66.158.14	Saint-Petersburg
128.69.134.125	Saint-Petersburg
95.73.37.47	Saint-Petersburg
165.124.145.25	Saint-Petersburg
2.135.97.4	Moscow
213.208.162.81	Moscow
85.115.248.67	Saint-Petersburg
149.62.243.253	Moscow
176.59.14.6	Saint-Petersburg
37.44.74.155	Moscow
188.68.123.233	Moscow
66.102.9.139	Kolomna
46.166.88.139	Saint-Petersburg
199.30.25.12	Saint-Petersburg
66.102.9.137	Moscow
188.162.163.36	Moscow
37.144.187.227	Moscow
91.78.98.93	Saint-Petersburg
199.30.25.159	Saratov
91.105.141.135	Saint-Petersburg
217.114.10.103	Saratov
77.123.73.209	Moscow
176.59.143.226	Moscow
62.84.54.33	Kolomna
46.39.46.130	Moscow
188.234.104.135	Moscow
188.232.184.57	Saratov
5.140.36.91	Saratov
31.173.81.190	Saratov
213.176.230.143	Saint-Petersburg
92.47.230.246	Moscow
95.153.131.174	Saint-Petersburg
128.73.57.138	Saint-Petersburg
90.155.151.185	Saint-Petersburg
95.30.196.64	Saint-Petersburg
212.87.168.62	Saint-Petersburg
80.83.239.107	Saratov
95.108.225.216	Kolomna
109.201.85.61	Moscow
176.194.41.97	Moscow
95.154.91.86	Moscow
95.170.121.49	Saint-Petersburg
77.222.99.57	Moscow
86.62.110.49	Saint-Petersburg
89.108.124.81	Kolomna
176.59.142.219	Saratov
188.170.195.24	Saint-Petersburg
149.62.243.250	Moscow
178.136.187.132	Saint-Petersburg
213.151.2.6	Saint-Petersburg
31.23.237.15	Saratov
185.26.180.64	Saint-Petersburg
37.142.170.253	Kolomna
66.102.9.141	Saratov
77.246.250.230	Moscow
95.56.90.109	Moscow
113.52.210.111	Moscow
5.45.255.95	Kolomna
188.162.86.69	Saint-Petersburg
5.42.39.70	Saint-Petersburg
79.172.76.170	Kolomna
2.53.62.165	Moscow
188.123.41.212	Saint-Petersburg
213.138.93.206	Moscow
188.120.60.157	Saratov
46.216.168.76	Moscow
145.255.162.172	Saint-Petersburg
213.129.33.89	Saint-Petersburg
178.122.205.138	Saint-Petersburg
188.17.46.10	Saint-Petersburg
91.79.248.89	Moscow
46.39.229.119	Kolomna
77.222.112.117	Moscow
85.114.178.182	Saratov
95.108.168.71	Saint-Petersburg
178.64.26.254	Saratov
185.26.180.108	Kolomna
37.212.226.202	Moscow
95.31.222.51	Moscow
109.173.11.213	Moscow
185.3.172.200	Moscow
85.140.76.197	Saratov
5.228.230.253	Moscow
217.66.152.17	Saint-Petersburg
185.98.79.232	Kolomna
5.144.96.251	Saratov
37.44.126.22	Saint-Petersburg
83.220.238.238	Moscow
109.174.112.106	Moscow
85.26.234.23	Saint-Petersburg
70.198.135.191	Saint-Petersburg
37.192.124.125	Moscow
176.49.151.92	Moscow
93.125.107.17	Moscow
188.254.126.94	Moscow
81.200.23.239	Moscow
92.127.237.106	Saratov
178.140.87.77	Saint-Petersburg
128.73.163.164	Moscow
46.0.0.148	Kolomna
93.100.108.250	Moscow
78.85.72.8	Saint-Petersburg
223.39.189.60	Saratov
46.39.249.77	Moscow
193.34.160.73	Moscow
185.189.254.92	Moscow
176.59.50.151	Moscow
94.50.193.185	Saint-Petersburg
79.172.99.99	Saint-Petersburg
85.117.117.157	Moscow
217.118.91.111	Moscow
93.77.91.200	Moscow
73.239.249.246	Saint-Petersburg
213.87.249.206	Moscow
